Team,no_all_athlete,no_women,percen_women,,,Country name,Percentage,
Hollandia,6,0,0.00,,,,,
Honduras,189,39,20.63,,,,,
Hong Kong,670,218,32.54,,,,,
Hong Kong-1,6,2,33.33,,,,,
Hong Kong-2,6,2,33.33,,,,,
Hornet,2,0,0.00,,,,,
Humbug V,2,0,0.00,,,,,
Hungaria,5,0,0.00,,,,,
Hungaria Evezos Egylet,9,0,0.00,,,,,
Hungary,6547,1734,26.49,,,,,
Hungary-1,14,7,50.00,,,,,
Hungary-2,16,7,43.75,,,,,
Hungary-3,2,0,0.00,,,,,
Hurlingham-2,4,0,0.00,,,,,
Iceland,627,129,20.57,,,,,
Ilderim,6,0,0.00,,,,,
Impala,2,0,0.00,,,,,
Inca,2,0,0.00,,,,,
Independent Rowing Club-3,2,0,0.00,,,,,
India,1400,241,17.21,,,,,
India-1,4,0,0.00,,,,,
India-2,4,0,0.00,,,,,
Individual Olympic Athletes,94,29,30.85,,,,,
Indonesia,355,114,32.11,,,,,
Indonesia-1,26,11,42.31,,,,,
Indonesia-2,26,11,42.31,,,,,
Inga-Lill XXXXIII,3,0,0.00,,,,,
Ingegerd,4,0,0.00,,,,,
Iran,789,49,6.21,,,,,
Iraq,232,7,3.02,,,,,
Ireland,1309,281,21.47,,,,,
Ireland-1,6,1,16.67,,,,,
Ireland-2,18,1,5.56,,,,,
Ireland-3,10,0,0.00,,,,,
Irene,5,0,0.00,,,,,
Israel,657,203,30.90,,,,,
Israel-1,4,2,50.00,,,,,
Israel-2,4,2,50.00,,,,,
Italia,6,0,0.00,,,,,
Italy,10260,2504,24.41,,,,,
Italy-1,155,19,12.26,,,,,
Italy-2,156,19,12.18,,,,,
Italy-3,2,1,50.00,,,,,
Jamaica,841,366,43.52,,,,,
Jamaica-1,2,0,0.00,,,,,
Jamaica-2,2,0,0.00,,,,,
Japan,8289,2727,32.90,,,,,
Japan-1,66,24,36.36,,,,,
Japan-2,66,24,36.36,,,,,
Japan-3,2,2,100.00,,,,,
Jeanette-25,1,0,0.00,,,,,
Jeannette-18,1,0,0.00,,,,,
Jest,2,0,0.00,,,,,
Jet,3,0,0.00,,,,,
Jill,3,0,0.00,,,,,
Jo,3,0,0.00,,,,,
Johan,5,0,0.00,,,,,
John B,6,0,0.00,,,,,
Jordan,80,23,28.75,,,,,
Joy,5,0,0.00,,,,,
June Climene,3,0,0.00,,,,,
Jupiter,2,0,0.00,,,,,
K Division Metropolitan Police Team-3,8,0,0.00,,,,,
K.S.S.S. 1912-2,6,0,0.00,,,,,
KNS,2,0,0.00,,,,,
Kalayaan,3,0,0.00,,,,,
Kannibaltje,2,0,0.00,,,,,
Kathleen,2,0,0.00,,,,,
Kazakhstan,1429,549,38.42,,,,,
Kemphaan,5,0,0.00,,,,,
Kenya,772,159,20.60,,,,,
